,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
119,120,6.0,2.2,5.0,1.5,Iris-virginica
138,139,6.0,3.0,4.8,1.8,Iris-virginica
132,133,6.4,2.8,5.6,2.2,Iris-virginica
146,147,6.3,2.5,5.0,1.9,Iris-virginica
65,66,6.7,3.1,4.4,1.4,Iris-versicolor
55,56,5.7,2.8,4.5,1.3,Iris-versicolor
115,116,6.4,3.2,5.3,2.3,Iris-virginica
41,42,4.5,2.3,1.3,0.3,Iris-setosa
111,112,6.4,2.7,5.3,1.9,Iris-virginica
35,36,5.0,3.2,1.2,0.2,Iris-setosa
25,26,5.0,3.0,1.6,0.2,Iris-setosa
102,103,7.1,3.0,5.9,2.1,Iris-virginica
89,90,5.5,2.5,4.0,1.3,Iris-versicolor
62,63,6.0,2.2,4.0,1.0,Iris-versicolor
6,7,4.6,3.4,1.4,0.3,Iris-setosa
82,83,5.8,2.7,3.9,1.2,Iris-versicolor
128,129,6.4,2.8,5.6,2.1,Iris-virginica
113,114,5.7,2.5,5.0,2.0,Iris-virginica
45,46,4.8,3.0,1.4,0.3,Iris-setosa
121,122,5.6,2.8,4.9,2.0,Iris-virginica
1,2,4.9,3.0,1.4,0.2,Iris-setosa
147,148,6.5,3.0,5.2,2.0,Iris-virginica
43,44,5.0,3.5,1.6,0.6,Iris-setosa
84,85,5.4,3.0,4.5,1.5,Iris-versicolor
96,97,5.7,2.9,4.2,1.3,Iris-versicolor
136,137,6.3,3.4,5.6,2.4,Iris-virginica
149,150,5.9,3.0,5.1,1.8,Iris-virginica
142,143,5.8,2.7,5.1,1.9,Iris-virginica
72,73,6.3,2.5,4.9,1.5,Iris-versicolor
30,31,4.8,3.1,1.6,0.2,Iris-setosa
125,126,7.2,3.2,6.0,1.8,Iris-virginica
90,91,5.5,2.6,4.4,1.2,Iris-versicolor
33,34,5.5,4.2,1.4,0.2,Iris-setosa
16,17,5.4,3.9,1.3,0.4,Iris-setosa
3,4,4.6,3.1,1.5,0.2,Iris-setosa
36,37,5.5,3.5,1.3,0.2,Iris-setosa
53,54,5.5,2.3,4.0,1.3,Iris-versicolor
24,25,4.8,3.4,1.9,0.2,Iris-setosa
77,78,6.7,3.0,5.0,1.7,Iris-versicolor
137,138,6.4,3.1,5.5,1.8,Iris-virginica
126,127,6.2,2.8,4.8,1.8,Iris-virginica
120,121,6.9,3.2,5.7,2.3,Iris-virginica
13,14,4.3,3.0,1.1,0.1,Iris-setosa
144,145,6.7,3.3,5.7,2.5,Iris-virginica
