time,position
0,3.170523785
0.1,3.835525664
0.2,4.359018829
0.3,4.090904443
0.4,4.821566757
0.5,5.214385946
0.6,5.470523007
0.7,5.42698421
0.8,4.96142161
0.9,5.260622518
1,4.688043485
1.1,4.896091369
1.2,4.631873141
1.3,4.175412274
1.4,3.908786988
1.5,2.720010337
1.6,2.502031993
1.7,1.700656796
1.8,0.682169616
1.9,0.219323969
2,-1.009382526
2.1,-2.042138771
2.2,-3.127885749
2.3,-4.58498043
2.4,-5.555937872
2.5,-7.112050914
2.6,-8.622751217
2.7,-10.11285161
2.8,-11.65548817
2.9,-13.53438948
3,-14.99599016
